Campaign_ID,Duration,Campaign_Channel,Conversion_Rate,Campaign_Cost,ROMI,Country,Clicks,Impressions,StartDate,Target_Gender,Target_Age,Product_ID,Campaign_Channel_ID,Country_code,Product,Product Subcategory,Product Category,Price (USD),Population,GDP,Revenue,CTR,CPC
482,15,Facebook,0.04,1600.0,1.1,Spain,725.0,8791.0,2023-04-10,Men,25-34,36,6,SP,Rebel Response,Tennis Shoes,Shoes,140,47.42,1394,3360.0,0.08247070867933114,2.206896551724138
524,30,Instagram,0.09,1300.0,1.4230769230769231,South Africa,426.0,4209.0,2021-12-25,Men,18-24,47,2,ZA,Rebel Sport,Watches,Accessories,150,60.61,351,3150.0,0.10121168923734854,3.051643192488263
525,30,YouTube,0.1,1600.0,1.13125,United Kingdom,1489.0,10249.0,2021-06-21,Women,35-44,4,5,UK,Just Rebels Jacket,Jackets,Clothing,155,67.33,2831,3410.0,0.14528246658210558,1.0745466756212223
553,30,Email,0.04,1100.0,2.022727272727273,Germany,796.0,8162.0,2021-07-18,Women,25-34,6,4,DE,Rebel Runs Jacket,Jackets,Clothing,95,83.2,3862,3325.0,0.09752511639304093,1.3819095477386936
556,30,Facebook,0.22,2200.0,3.963636363636364,Spain,799.0,11404.0,2021-07-16,Women,35-44,32,6,SP,Rebel Fly,Soccer Shoes,Shoes,120,47.42,1394,10920.0,0.07006313574184497,2.753441802252816
560,60,Google Ads,0.06,1400.0,1.542857142857143,Spain,211.0,2761.0,2022-07-06,All,All,10,3,SP,Running Shorts,Shorts,Clothing,40,47.42,1394,3560.0,0.07642158638174575,6.6350710900473935
577,45,Instagram,0.1,1600.0,3.021875,France,516.0,7516.0,2023-07-11,Men,18-24,38,2,FR,Crossbody Bag,Bags,Accessories,45,67.75,2716,6435.0,0.06865353911655135,3.10077519379845
594,30,Website,0.04,100.0,0.3,South Africa,48.0,669.0,2022-02-19,Women,35-44,11,1,ZA,Versatile Shorts,Shorts,Clothing,65,60.61,351,130.0,0.07174887892376682,2.0833333333333335
601,45,Email,0.02,400.0,1.5,South Africa,141.0,1547.0,2023-02-08,Women,25-34,48,4,ZA,Rebel Casual,Watches,Accessories,200,60.61,351,1000.0,0.09114414996767937,2.8368794326241136
630,15,YouTube,0.19,4900.0,3.2908163265306123,France,696.0,13050.0,2023-09-26,Women,35-44,33,5,FR,Rebel Force,Soccer Shoes,Shoes,145,67.75,2716,21025.0,0.05333333333333334,7.040229885057471
638,30,Google Ads,0.07,2100.0,0.9285714285714286,France,872.0,12334.0,2023-09-05,All,All,45,3,FR,Rebel Shine,Sunglasses,Accessories,75,67.75,2716,4050.0,0.07069888114155992,2.408256880733945
641,45,Email,0.17,4600.0,0.5234782608695652,United Kingdom,860.0,9636.0,2021-10-28,All,All,14,4,UK,Training Crew Socks,Socks,Clothing,12,67.33,2831,7008.0,0.08924865089248651,5.348837209302325
643,15,Google Ads,0.04,1400.0,1.042857142857143,Spain,45.0,3300.0,2021-10-10,Men,18-24,17,3,SP,Undershirt,Underwear,Clothing,20,47.42,1394,2860.0,0.013636363636363636,31.11111111111111
649,15,Facebook,0.14,2100.0,2.5095238095238095,Spain,535.0,14104.0,2022-10-20,Women,35-44,35,6,SP,Rebel Pro,Tennis Shoes,Shoes,110,47.42,1394,7370.0,0.03793250141803744,3.925233644859813
650,60,Google Ads,0.11,1400.0,3.5,Germany,451.0,9777.0,2022-10-10,Women,25-34,36,3,DE,Rebel Response,Tennis Shoes,Shoes,140,83.2,3862,6300.0,0.04612866932596911,3.104212860310421
653,15,YouTube,0.19,4800.0,1.253125,France,1843.0,11593.0,2022-10-07,Men,18-24,7,5,FR,Fit T-Shirt,T-Shirts,Clothing,35,67.75,2716,10815.0,0.15897524368153196,2.6044492674986435
666,30,YouTube,0.26,2600.0,2.8276923076923075,South Africa,369.0,9427.0,2023-04-26,All,All,41,5,ZA,Bucket Hat,Headwear,Accessories,32,60.61,351,9952.0,0.039142887450938794,7.046070460704607
678,30,Email,0.02,1000.0,3.32,Germany,812.0,6221.0,2021-11-02,Men,18-24,26,4,DE,Rebel Run,Running Shoes,Shoes,120,83.2,3862,4320.0,0.13052563896479666,1.2315270935960592
682,60,Facebook,0.11,1800.0,3.236111111111111,France,832.0,15630.0,2022-11-08,Men,18-24,46,6,FR,Rebel Glow,Sunglasses,Accessories,125,67.75,2716,7625.0,0.05323096609085093,2.1634615384615383
699,15,Google Ads,0.15,1800.0,3.065,France,290.0,11414.0,2023-11-27,Men,18-24,44,3,FR,Headband,Headwear,Accessories,9,67.75,2716,7317.0,0.025407394427895566,6.206896551724138
709,15,Website,0.07,800.0,2.28125,Spain,246.0,2728.0,2021-12-19,Men,25-34,45,1,SP,Rebel Shine,Sunglasses,Accessories,75,47.42,1394,2625.0,0.09017595307917889,3.252032520325203
716,15,Email,0.02,200.0,0.725,South Africa,231.0,811.0,2022-06-18,Men,18-24,28,4,ZA,Rebel Cosmic,Basketball Shoes,Shoes,115,60.61,351,345.0,0.2848335388409371,0.8658008658008658
722,15,Website,0.04,400.0,3.0625,South Africa,101.0,1290.0,2023-06-07,Men,25-34,46,1,ZA,Rebel Glow,Sunglasses,Accessories,125,60.61,351,1625.0,0.07829457364341086,3.9603960396039604
727,30,Instagram,0.06,3100.0,0.9161290322580645,Germany,1044.0,17406.0,2023-12-03,Men,18-24,35,2,DE,Rebel Pro,Tennis Shoes,Shoes,110,83.2,3862,5940.0,0.05997931747673216,2.9693486590038316
751,60,Instagram,0.09,300.0,0.4,South Africa,239.0,3599.0,2023-07-05,All,All,2,2,ZA,Rebel Dry Sweatshirt,Sweatshirts,Clothing,60,60.61,351,420.0,0.06640733537093638,1.2552301255230125
759,45,Website,0.04,2900.0,2.5844827586206898,Germany,1072.0,8972.0,2023-01-21,All,All,29,1,DE,Rebel 23,Basketball Shoes,Shoes,165,83.2,3862,10395.0,0.11948283548818546,2.705223880597015
760,15,Email,0.13,1600.0,3.2875,Germany,808.0,5445.0,2023-01-09,Women,35-44,25,4,DE,Rebel Fly,Running Shoes,Shoes,140,83.2,3862,6860.0,0.14839302112029384,1.9801980198019802
816,15,Facebook,0.18,2700.0,2.1148148148148147,Spain,893.0,7415.0,2023-03-06,Men,25-34,33,6,SP,Rebel Force,Soccer Shoes,Shoes,145,47.42,1394,8410.0,0.12043155765340526,3.0235162374020157
839,15,Email,0.02,2100.0,1.0,Spain,275.0,2102.0,2022-04-28,Men,18-24,43,4,SP,Visor,Headwear,Accessories,20,47.42,1394,4200.0,0.13082778306374881,7.636363636363637
849,60,Email,0.05,1600.0,1.295,Spain,181.0,3956.0,2023-04-30,Women,35-44,14,4,SP,Training Crew Socks,Socks,Clothing,12,47.42,1394,3672.0,0.04575328614762386,8.839779005524862
855,45,Google Ads,0.04,600.0,4.6,United Kingdom,467.0,4998.0,2021-05-16,Men,18-24,32,3,UK,Rebel Fly,Soccer Shoes,Shoes,120,67.33,2831,3360.0,0.09343737494997999,1.284796573875803
857,45,Instagram,0.02,1600.0,1.73125,Spain,808.0,14034.0,2021-05-07,Men,25-34,24,2,SP,Rebel Vision,Lifestyle Shoes,Shoes,95,47.42,1394,4370.0,0.05757446202080661,1.9801980198019802
872,60,Google Ads,0.08,400.0,2.0,South Africa,287.0,2444.0,2023-11-03,Men,25-34,27,3,ZA,Rebel Razor,Running Shoes,Shoes,100,60.61,351,1200.0,0.117430441898527,1.3937282229965158
878,15,Email,0.12,5600.0,3.307142857142857,United Kingdom,747.0,7987.0,2023-05-01,Women,35-44,30,4,UK,Rebel Boost,Basketball Shoes,Shoes,180,67.33,2831,24120.0,0.09352698134468511,7.49665327978581
894,60,Email,0.01,3300.0,3.484848484848485,United Kingdom,698.0,8198.0,2022-06-25,Men,18-24,48,4,UK,Rebel Casual,Watches,Accessories,200,67.33,2831,14800.0,0.08514271773603319,4.7277936962750715
936,15,Google Ads,0.05,1100.0,1.0363636363636364,Spain,329.0,2754.0,2023-07-12,Men,25-34,12,3,SP,Basketball Shorts,Shorts,Clothing,70,47.42,1394,2240.0,0.11946259985475671,3.3434650455927053
941,45,Instagram,0.05,2200.0,2.7227272727272727,United Kingdom,391.0,4154.0,2023-07-17,Women,35-44,23,2,UK,Rebel Club,Lifestyle Shoes,Shoes,130,67.33,2831,8190.0,0.09412614347616755,5.626598465473146
943,15,Email,0.08,300.0,0.65,South Africa,137.0,1763.0,2021-02-16,All,All,29,4,ZA,Rebel 23,Basketball Shoes,Shoes,165,60.61,351,495.0,0.07770845150311968,2.18978102189781
960,60,Facebook,0.04,1300.0,0.9615384615384616,South Africa,365.0,2154.0,2022-02-12,Women,35-44,47,6,ZA,Rebel Sport,Watches,Accessories,150,60.61,351,2550.0,0.16945218198700093,3.5616438356164384
971,45,Website,0.02,200.0,1.4,South Africa,85.0,799.0,2023-02-08,Men,25-34,17,1,ZA,Undershirt,Underwear,Clothing,20,60.61,351,480.0,0.10638297872340426,2.3529411764705883
977,45,Email,0.04,1200.0,0.8083333333333333,Germany,524.0,9634.0,2021-09-24,Men,18-24,4,4,DE,Just Rebels Jacket,Jackets,Clothing,155,83.2,3862,2170.0,0.05439069960556363,2.2900763358778624
979,45,Instagram,0.12,3800.0,2.6,Germany,1074.0,17924.0,2021-09-07,Women,35-44,39,2,DE,Backpack,Bags,Accessories,95,83.2,3862,13680.0,0.05991966079000223,3.538175046554935
987,30,Google Ads,0.14,2800.0,1.7,France,581.0,5814.0,2022-09-24,Men,25-34,30,3,FR,Rebel Boost,Basketball Shoes,Shoes,180,67.75,2716,7560.0,0.0999312005503956,4.819277108433735
1013,30,Facebook,0.06,1700.0,2.0941176470588236,Germany,323.0,4904.0,2021-10-24,Men,25-34,43,6,DE,Visor,Headwear,Accessories,20,83.2,3862,5260.0,0.06586460032626427,5.2631578947368425
1040,45,Email,0.06,8400.0,1.3083333333333333,South Africa,152.0,1733.0,2021-05-21,Women,35-44,12,4,ZA,Basketball Shorts,Shorts,Clothing,70,60.61,351,19390.0,0.08770917484131564,55.26315789473684
1053,60,YouTube,0.07,1200.0,1.6333333333333333,Germany,1118.0,10903.0,2022-11-15,All,All,16,5,DE,Boxer Briefs,Underwear,Clothing,40,83.2,3862,3160.0,0.10254058516004769,1.073345259391771
1056,15,Instagram,0.18,3300.0,3.303030303030303,Spain,540.0,7499.0,2023-11-16,Men,25-34,48,2,SP,Rebel Casual,Watches,Accessories,200,47.42,1394,14200.0,0.07200960128017068,6.111111111111111
1059,30,Google Ads,0.08,700.0,1.0357142857142858,Spain,337.0,3034.0,2023-11-17,Men,25-34,1,3,SP,Club Rebel Fleece Sweatshirt,Sweatshirts,Clothing,75,47.42,1394,1425.0,0.11107448912326962,2.077151335311573
1067,30,Facebook,0.06,2300.0,1.5108695652173914,Germany,538.0,4096.0,2021-12-03,Men,25-34,29,6,DE,Rebel 23,Basketball Shoes,Shoes,165,83.2,3862,5775.0,0.13134765625,4.275092936802974
1069,45,Instagram,0.07,400.0,3.25,South Africa,486.0,3453.0,2021-06-04,All,All,22,2,ZA,Rebel Max,Lifestyle Shoes,Shoes,170,60.61,351,1700.0,0.14074717636837533,0.823045267489712
1097,15,Website,0.1,4400.0,1.0454545454545454,United Kingdom,695.0,4482.0,2021-01-30,Women,25-34,10,1,UK,Running Shorts,Shorts,Clothing,40,67.33,2831,9000.0,0.15506470325747435,6.330935251798561
1113,30,Facebook,0.03,700.0,1.5714285714285714,South Africa,338.0,5038.0,2022-07-09,Women,35-44,48,6,ZA,Rebel Casual,Watches,Accessories,200,60.61,351,1800.0,0.06709011512504963,2.0710059171597632
1114,15,Email,0.03,1700.0,0.9852941176470589,Spain,246.0,3265.0,2022-01-12,Men,18-24,46,4,SP,Rebel Glow,Sunglasses,Accessories,125,47.42,1394,3375.0,0.07534456355283307,6.9105691056910565
1152,15,Google Ads,0.02,5900.0,1.526271186440678,France,965.0,7490.0,2023-02-28,Women,25-34,19,3,FR,Joggers,Pants,Clothing,55,67.75,2716,14905.0,0.1288384512683578,6.1139896373057
1187,45,Google Ads,0.12,400.0,3.0625,South Africa,210.0,2293.0,2021-10-12,Women,25-34,46,3,ZA,Rebel Glow,Sunglasses,Accessories,125,60.61,351,1625.0,0.09158307893589185,1.9047619047619047
1205,45,Instagram,0.11,2000.0,1.51,United Kingdom,512.0,8922.0,2022-04-27,All,All,43,2,UK,Visor,Headwear,Accessories,20,67.33,2831,5020.0,0.05738623626989464,3.90625
1247,45,Google Ads,0.05,1300.0,1.4230769230769231,Germany,617.0,11266.0,2021-06-01,Women,35-44,47,3,DE,Rebel Sport,Watches,Accessories,150,83.2,3862,3150.0,0.05476655423397834,2.106969205834684
1263,30,Google Ads,0.11,900.0,1.6388888888888888,Germany,183.0,6507.0,2022-06-27,Men,25-34,6,3,DE,Rebel Runs Jacket,Jackets,Clothing,95,83.2,3862,2375.0,0.028123559243891195,4.918032786885246
1279,60,Email,0.01,800.0,3.63125,France,477.0,7513.0,2021-07-09,Men,25-34,39,4,FR,Backpack,Bags,Accessories,95,67.75,2716,3705.0,0.06348995075202982,1.6771488469601676
1288,15,Website,0.15,2600.0,1.7115384615384615,Germany,482.0,6314.0,2022-07-02,All,All,45,1,DE,Rebel Shine,Sunglasses,Accessories,75,83.2,3862,7050.0,0.07633829585049097,5.394190871369295
1294,45,Email,0.08,2900.0,3.5258620689655173,Germany,959.0,8241.0,2022-07-02,Men,25-34,40,4,DE,Golf Cap,Headwear,Accessories,25,83.2,3862,13125.0,0.11636937264895036,3.0239833159541187
1296,30,Instagram,0.11,600.0,1.8,South Africa,331.0,3787.0,2022-01-14,Women,25-34,37,2,ZA,Duffel Bag,Bags,Accessories,210,60.61,351,1680.0,0.08740427779244785,1.8126888217522659
1301,30,Website,0.08,1600.0,2.734375,Spain,216.0,3260.0,2023-07-07,All,All,40,1,SP,Golf Cap,Headwear,Accessories,25,47.42,1394,5975.0,0.06625766871165645,7.407407407407407
1302,60,Email,0.06,400.0,3.5,Spain,334.0,3082.0,2023-07-01,All,All,30,4,SP,Rebel Boost,Basketball Shoes,Shoes,180,47.42,1394,1800.0,0.10837118754055808,1.1976047904191616
1306,30,Facebook,0.13,2200.0,3.022727272727273,United Kingdom,980.0,6771.0,2023-07-24,Women,35-44,45,6,UK,Rebel Shine,Sunglasses,Accessories,75,67.33,2831,8850.0,0.1447348988332595,2.2448979591836733
1309,45,Instagram,0.03,1500.0,2.8666666666666667,France,706.0,5780.0,2021-08-27,Women,25-34,40,2,FR,Golf Cap,Headwear,Accessories,25,67.75,2716,5800.0,0.12214532871972318,2.1246458923512748
1310,15,Instagram,0.13,3800.0,3.405263157894737,United Kingdom,876.0,8021.0,2021-08-28,Men,18-24,43,2,UK,Visor,Headwear,Accessories,20,67.33,2831,16740.0,0.109213315047999,4.337899543378995
1326,30,Instagram,0.04,200.0,0.8,South Africa,320.0,3545.0,2022-02-02,Women,25-34,17,2,ZA,Undershirt,Underwear,Clothing,20,60.61,351,360.0,0.09026798307475317,0.625
1328,30,Google Ads,0.04,900.0,2.8,United Kingdom,538.0,5321.0,2023-08-06,All,All,42,3,UK,Beanie,Headwear,Accessories,30,67.33,2831,3420.0,0.10110881413268183,1.6728624535315986
1332,60,Website,0.07,400.0,2.3,Spain,236.0,3841.0,2023-08-23,Men,25-34,35,1,SP,Rebel Pro,Tennis Shoes,Shoes,110,47.42,1394,1320.0,0.061442332725852644,1.694915254237288
1357,60,Instagram,0.14,900.0,2.111111111111111,Spain,933.0,11763.0,2022-09-09,Men,25-34,31,2,SP,Rebel Legend,Soccer Shoes,Shoes,175,47.42,1394,2800.0,0.07931650089262943,0.9646302250803859
1382,15,Instagram,0.11,1300.0,1.4615384615384615,South Africa,432.0,4763.0,2022-04-11,Women,35-44,27,2,ZA,Rebel Razor,Running Shoes,Shoes,100,60.61,351,3200.0,0.09069913919798446,3.009259259259259
